Sample,Female_parent,Male_parent
BLFlume19-1-1-07,19BLA134,19BLA115
BLFlume19-1-1-08,19BLA134,19BLA115
BLFlume19-1-1-13,19BLA134,19BLA122
BLFlume19-1-2-022,19BLA134,19BLA115
BLFlume19-1-2-024,19BLA134,19BLA115
BLFlume19-1-2-025,19BLA134,19BLA115
BLFlume19-1-2-026,19BLA134,19BLA115
BLFlume19-1-2-027,19BLA134,19BLA115
BLFlume19-1-2-028,19BLA134,19BLA115
BLFlume19-1-2-029,19BLA134,19BLA115
BLFlume19-1-2-030,19BLA134,19BLA115
BLFlume19-1-2-031,19BLA134,19BLA122
BLFlume19-1-2-032,19BLA134,19BLA115
BLFlume19-1-2-033,19BLA134,19BLA122
BLFlume19-1-2-034,19BLA134,19BLA115
BLFlume19-1-2-035,19BLA134,19BLA115
BLFlume19-1-2-036,19BLA134,19BLA115
BLFlume19-1-2-037,19BLA134,19BLA115
BLFlume19-1-2-038,19BLA134,19BLA122
BLFlume19-1-2-039,19BLA134,19BLA115
BLFlume19-1-2-040,19BLA134,19BLA115
BLFlume19-1-2-21,19BLA134,19BLA122
BLFlume19-1-2-23,19BLA134,19BLA122
BLFlume19-1-3-041,19BLA134,19BLA115
BLFlume19-1-3-042,19BLA134,19BLA115
BLFlume19-1-3-043,19BLA134,19BLA115
BLFlume19-1-3-044,19BLA134,19BLA122
BLFlume19-1-3-045,19BLA134,19BLA115
BLFlume19-1-3-046,19BLA134,19BLA115
BLFlume19-1-3-047,19BLA134,19BLA122
BLFlume19-1-3-048,19BLA134,19BLA115
BLFlume19-1-3-049,19BLA134,19BLA115
BLFlume19-1-3-050,19BLA134,19BLA115
BLFlume19-1-3-051,19BLA134,19BLA115
BLFlume19-1-3-052,19BLA134,19BLA115
BLFlume19-1-3-053,19BLA134,19BLA122
BLFlume19-1-3-054,19BLA134,19BLA115
BLFlume19-1-3-055,19BLA134,19BLA122
BLFlume19-1-3-056,19BLA134,19BLA122
BLFlume19-1-3-057,19BLA134,19BLA115
BLFlume19-1-3-058,19BLA134,19BLA122
BLFlume19-1-3-059,19BLA134,19BLA115
BLFlume19-1-3-060,19BLA134,19BLA122
BLFlume19-1-4-061,19BLA134,19BLA115
BLFlume19-1-4-062,19BLA134,19BLA122
BLFlume19-1-4-063,19BLA134,19BLA122
BLFlume19-1-4-064,19BLA134,19BLA122
BLFlume19-1-4-065,19BLA134,19BLA122
BLFlume19-1-4-066,19BLA134,19BLA115
BLFlume19-1-4-067,19BLA134,19BLA115
BLFlume19-1-4-068,19BLA134,19BLA122
BLFlume19-1-4-069,19BLA134,19BLA115
BLFlume19-1-4-070,19BLA134,19BLA122
BLFlume19-1-4-071,19BLA134,19BLA115
BLFlume19-1-4-072,19BLA134,19BLA122
BLFlume19-1-4-073,19BLA134,19BLA122
BLFlume19-1-4-074,19BLA134,19BLA115
BLFlume19-1-4-075,19BLA134,19BLA122
BLFlume19-1-4-076,19BLA134,19BLA122
BLFlume19-1-4-077,19BLA134,19BLA122
BLFlume19-1-4-078,19BLA134,19BLA122
BLFlume19-1-4-079,19BLA134,19BLA115
BLFlume19-1-5-085,19BLA134,19BLA122
BLFlume19-1-5-098,19BLA134,19BLA122
BLFlume19-1-5-099,19BLA134,19BLA122
BLFlume19-2-1-101,19BLA134,19BLA122
BLFlume19-2-1-106,19BLA134,19BLA122
BLFlume19-2-2-125,19BLA134,19BLA122
BLFlume19-2-2-126,19BLA134,19BLA122
BLFlume19-2-2-127,19BLA134,19BLA122
BLFlume19-2-2-128,19BLA134,19BLA122
BLFlume19-2-2-131,19BLA134,19BLA122
BLFlume19-2-3-145,19BLA134,19BLA122
BLFlume19-2-3-147,19BLA134,19BLA122
BLFlume19-2-3-149,19BLA134,19BLA122
BLFlume19-2-3-150,19BLA134,19BLA122
BLFlume19-2-3-153,19BLA134,19BLA122
BLFlume19-2-3-155,19BLA134,19BLA122
BLFlume19-2-3-159,19BLA134,19BLA122
BLFlume19-2-4-164,19BLA134,19BLA122
BLFlume19-2-4-178,19BLA134,19BLA122
BLFlume19-2-5-158,19BLA134,19BLA122
BLFlume19-2-5-190,19BLA134,19BLA122
BLFlume19-4-1-320,19BLA134,19BLA122
BLFlume19-5-1-401,19BLA148,19BLA146
BLFlume19-5-1-402,19BLA148,19BLA147
BLFlume19-5-1-403,19BLA148,19BLA146
BLFlume19-5-1-404,19BLA148,19BLA147
BLFlume19-5-1-405,19BLA148,19BLA147
BLFlume19-5-1-406,19BLA148,19BLA147
BLFlume19-5-1-407,19BLA148,19BLA147
BLFlume19-5-1-408,19BLA148,19BLA147
BLFlume19-5-1-409,19BLA148,19BLA147
BLFlume19-5-1-410,19BLA148,19BLA146
BLFlume19-5-1-411,19BLA148,19BLA146
BLFlume19-5-1-412,19BLA148,19BLA147
BLFlume19-5-1-413,19BLA148,19BLA146
BLFlume19-5-1-414,19BLA148,19BLA146
BLFlume19-5-1-415,19BLA148,19BLA147
BLFlume19-5-1-416,19BLA148,19BLA146
BLFlume19-5-1-417,19BLA148,19BLA147
BLFlume19-5-1-418,19BLA148,19BLA147
BLFlume19-5-1-419,19BLA148,19BLA147
BLFlume19-5-1-420,19BLA148,19BLA146
BLFlume19-5-2-421,19BLA148,19BLA147
BLFlume19-5-2-422,19BLA148,19BLA147
